ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCH_NAME,primary,secondary,SY
0281,02810620,Springfield,Roger L. Putnam Vocational Technical Academy,36,7,2,21,0,0,0,6,18,5,0,9,27,0,Roger L. Putnam Vocational Technical Academy,0,38,2018
0284,02840505,Stoneham,Stoneham High,9,0,3,0,2,0,0,4,0,1,0,7,2,0,Stoneham High,0,127,2018
0285,02850505,Stoughton,Stoughton High,15,4,3,1,1,0,0,6,3,0,0,5,10,0,Stoughton High,0,381,2018
0292,02920505,Swansea,Joseph Case High,27,0,0,0,1,0,0,26,4,0,0,8,19,0,Joseph Case High,3,184,2018
0293,02930505,Taunton,Taunton High,35,4,3,6,2,0,0,20,10,1,0,8,27,0,Taunton High,115,263,2018
0301,03010505,Tyngsborough,Tyngsborough High School,1, , , , , , , , , , , , , ,Tyngsborough High School,0,91,2018
0305,03050505,Wakefield,Wakefield Memorial High,9,0,0,0,0,0,0,9,1,2,0,5,4,0,Wakefield Memorial High,0,46,2018
0307,03070505,Walpole,Walpole High,8,0,3,0,0,0,0,5,0,0,0,1,7,0,Walpole High,1,50,2018
0308,03080505,Waltham,Waltham Sr High,31,5,7,5,1,0,0,13,7,2,0,7,24,0,Waltham Sr High,0,32,2018
0314,03140505,Watertown,Watertown High,18,0,2,0,0,0,0,16,1,2,0,7,11,0,Watertown High,0,66,2018
0315,03150505,Wayland,Wayland High School,84,1,27,2,6,0,0,48,1,5,0,26,58,0,Wayland High School,0,133,2018
0316,03160505,Webster,Bartlett High School,15,0,1,1,2,0,0,11,1,0,0,2,13,0,Bartlett High School,0,112,2018
0317,03170505,Wellesley,Wellesley Sr High,82,1,24,2,7,0,0,48,4,5,0,33,49,0,Wellesley Sr High,0,172,2018
0321,03210505,Westborough,Westborough High,18,0,11,0,1,0,0,6,0,0,0,8,10,0,Westborough High,0,184,2018
0325,03250505,Westfield,Westfield High,14,0,0,0,0,0,0,14,1,0,0,0,14,0,Westfield High,0,95,2018
0326,03260505,Westford,Westford Academy,32,0,16,1,1,0,0,14,1,0,0,4,28,0,Westford Academy,0,543,2018
0330,03300505,Weston,Weston High,24,0,8,1,1,0,0,14,2,2,0,9,15,0,Weston High,0,64,2018
0335,03350505,Westwood,Westwood High,16,0,2,0,1,0,0,13,0,1,0,1,15,0,Westwood High,0,112,2018
0336,03360505,Weymouth,Weymouth High School,6,0,1,0,0,0,0,5,0,1,0,0,6,0,Weymouth High School,0,241,2018
0344,03440505,Winchester,Winchester High School,73,1,23,1,1,0,0,47,2,0,0,23,50,0,Winchester High School,0,171,2018
0346,03460505,Winthrop,Winthrop High School,2, , , , , , , , , , , , , ,Winthrop High School,0,78,2018
0348,03480512,Worcester,Doherty Memorial High,6,0,3,2,0,0,0,1,1,1,0,0,6,0,Doherty Memorial High,0,202,2018
0348,03480515,Worcester,North High,20,7,10,1,1,0,0,1,5,0,0,6,14,0,North High,0,169,2018
0348,03480605,Worcester,Worcester Technical High,18,4,2,2,0,0,0,10,6,0,0,2,16,0,Worcester Technical High,0,48,2018
0410,04100205,Excel Academy Charter (District),Excel Academy Charter School,17,0,2,13,0,0,0,2,5,1,0,5,12,0,Excel Academy Charter School,665,103,2018
0430,04300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,35,2,11,1,3,0,0,18,1,1,0,10,25,0,Advanced Math and Science Academy Charter School,452,154,2018
0446,04460550,Foxborough Regional Charter (District),Foxborough Regional Charter School,15,0,3,0,1,0,0,11,1,0,0,2,13,0,Foxborough Regional Charter School,1173,104,2018
0484,04840505,Roxbury Preparatory Charter (District),Roxbury Preparatory Charter School,9,7,0,2,0,0,0,0,4,1,3,4,5,0,Roxbury Preparatory Charter School,0,10,2018
0487,04870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,52,21,7,14,0,1,0,9,9,1,0,24,28,0,Prospect Hill Academy Charter School,107,78,2018
