School Code,District,School Name,# STUDENTS ENROLLED ,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
1480005,Lanesborough,Lanesborough Elementary,211,211,0
1490003,Lawrence,John Breen School,1,1,0
1490004,Lawrence,South Lawrence East Elementary School,4,4,0
1490009,Lawrence,Community Day Arlington,2,2,0
1490017,Lawrence,Arlington Middle School,1,1,0
1490018,Lawrence,Robert Frost,489,489,0
1490020,Lawrence,James F Hennessey,1,1,0
1490022,Lawrence,Gerard A. Guilmette,1,1,0
1490025,Lawrence,Guilmette Middle School,3,3,0
1490027,Lawrence,Parthum Middle School,3,3,0
1490040,Lawrence,Francis M Leahy,1,1,0
1490048,Lawrence,Oliver Partnership School,4,4,0
1490075,Lawrence,John K Tarbox,1,1,0
1490080,Lawrence,Emily G Wetherbee,3,3,0
1490085,Lawrence,Spark Academy,3,3,0
1490515,Lawrence,Lawrence High School,165,0,165
1490525,Lawrence,Frost Middle School,3,3,0
1490537,Lawrence,School for Exceptional Studies,31,0,31
1500505,Lee,Lee Middle/High School,110,103,7
1510505,Leicester,Leicester High,135,0,135
1520015,Lenox,Morris,252,252,0
1520505,Lenox,Lenox Memorial High,154,131,23
1530007,Leominster,Fall Brook,1,1,0
1530030,Leominster,Northwest,4,4,0
1530045,Leominster,Samoset School,3,3,0
1530320,Leominster,Sky View Middle School,5,5,0
1530505,Leominster,Leominster High School,113,0,113
1530605,Leominster,Center For Technical Education Innovation,76,0,76
1540005,Leverett,Leverett Elementary,112,112,0
1550305,Lexington,Jonas Clarke Middle,338,337,1
1550310,Lexington,Wm Diamond Middle,286,286,0
1550505,Lexington,Lexington High,393,0,393
1570025,Lincoln,Lincoln School,385,385,0
1570305,Lincoln,Hanscom Middle,244,244,0
1580305,Littleton,Littleton Middle School,358,358,0
1580505,Littleton,Littleton High School,62,0,62
1590005,Longmeadow,Blueberry Hill,433,433,0
1590010,Longmeadow,Center,410,410,0
1590017,Longmeadow,Glenbrook Middle,327,327,0
1590025,Longmeadow,Wolf Swamp Road,348,348,0
1590305,Longmeadow,Williams Middle,329,329,0
1590505,Longmeadow,Longmeadow High,51,0,51
1600018,Lowell,Pyne Arts,471,471,0
1600085,Lowell,Laura Lee Therapeutic Day School,4,4,0
1600090,Lowell,Bartlett Community Partnership,455,455,0
1600310,Lowell,B.F. Butler Middle School,1,1,0
1600315,Lowell,James S Daley Middle School,630,630,0
1600320,Lowell,Leblanc Therapeutic Day School,1,1,0
