ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCHOOL,primary,secondary,SY,AP1,AP2,AP3,AP4,AP5
0307,03070505,Walpole,Walpole High,5, , , , , , , , , , , , , ,03070505,0,43,2017,4,12,25,31,17
0308,03080505,Waltham,Waltham Sr High,32,4,7,3,1,0,0,17,4,2,0,4,28,0,03080505,0,32,2017,18,42,29,19,11
0314,03140505,Watertown,Watertown High,6,0,0,1,0,0,0,5,2,0,0,2,4,0,03140505,0,91,2017,2,7,12,16,9
0317,03170505,Wellesley,Wellesley Sr High,45,1,5,2,3,0,0,34,3,1,1,25,20,0,03170505,0,160,2017,8,14,56,95,122
0321,03210505,Westborough,Westborough High,20,0,12,0,0,0,0,8,0,0,0,1,19,0,03210505,10,178,2017,2,7,15,50,61
0325,03250505,Westfield,Westfield High,2, , , , , , , , , , , , , ,03250505,0,80,2017,50,22,19,18,10
0326,03260505,Westford,Westford Academy,21,0,11,0,2,0,0,8,0,0,0,2,19,0,03260505,0,532,2017,0,5,4,28,125
0330,03300505,Weston,Weston High,32,1,12,0,0,0,0,19,0,1,0,10,22,0,03300505,0,229,2017,10,20,40,48,52
0335,03350505,Westwood,Westwood High,22,1,3,0,0,0,0,18,1,0,0,2,20,0,03350505,0,98,2017,3,9,15,20,47
0336,03360505,Weymouth,Weymouth High School,13,1,1,0,1,0,0,10,3,0,0,0,13,0,03360505,0,258,2017,10,22,25,13,7
0342,03420505,Wilmington,Wilmington High,1, , , , , , , , , , , , , ,03420505,0,78,2017,20,16,28,6,12
0344,03440505,Winchester,Winchester High School,74,2,18,1,1,0,0,52,2,2,0,20,54,0,03440505,0,186,2017,1,18,61,75,89
0348,03480512,Worcester,Doherty Memorial High,12,2,0,1,1,0,0,8,4,3,0,1,11,0,03480512,0,190,2017,12,17,15,22,24
0348,03480605,Worcester,Worcester Technical High,24,3,2,7,1,0,0,11,8,1,0,4,20,0,03480605,0,53,2017,53,25,17,9,4
0430,04300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,35,3,15,0,1,0,0,16,0,1,0,14,21,0,04300305,448,163,2017,2,5,18,29,63
0446,04460550,Foxborough Regional Charter (District),Foxborough Regional Charter School,7,2,1,1,0,0,0,3,1,0,0,2,5,0,04460550,966,107,2017,11,9,5,4,2
0487,04870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,44,16,5,14,1,0,0,8,4,1,0,19,25,0,04870550,1,143,2017,35,21,12,3,4
0488,04880550,South Shore Charter Public (District),South Shore Charter Public School,12,2,1,0,0,0,0,9,1,0,0,3,9,0,04880550,18,12,2017,5,4,4,0,2
0494,04940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,7,0,2,0,0,0,0,5,1,0,0,3,4,0,04940205,131,91,2017,1,8,7,9,8
